"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135298","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Mon Jul 21 08:54:36 GMT 2025","passed","Mon Jul 21 08:56:51 GMT 2025","","test_core","",""
"","25607","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Mon Jul 21 08:53:03 GMT 2025","passed","Mon Jul 21 08:53:29 GMT 2025","","test_backup","",""
"","31900","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:51:57 GMT 2025","passed","Mon Jul 21 08:52:29 GMT 2025","","test_pki","",""
"","31652","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:50:37 GMT 2025","passed","Mon Jul 21 08:51:09 GMT 2025","","test_core","",""
"","104596","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:52:15 GMT 2025","passed","Mon Jul 21 08:53:59 GMT 2025","","test_autounseal","",""
"","60861","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:53:35 GMT 2025","passed","Mon Jul 21 08:54:36 GMT 2025","","test_core","",""
"","100289","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Mon Jul 21 08:52:16 GMT 2025","passed","Mon Jul 21 08:53:56 GMT 2025","","test_kv","",""
"","93570","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Mon Jul 21 08:56:51 GMT 2025","passed","Mon Jul 21 08:58:25 GMT 2025","","test_core","",""
"","88104","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Mon Jul 21 08:53:59 GMT 2025","passed","Mon Jul 21 08:55:27 GMT 2025","","test_autounseal","",""
"","55080","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Mon Jul 21 08:51:51 GMT 2025","passed","Mon Jul 21 08:52:46 GMT 2025","","test_backup","",""
"","50758","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:52:08 GMT 2025","passed","Mon Jul 21 08:52:59 GMT 2025","","test_cos","",""
"","17535","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Mon Jul 21 08:52:46 GMT 2025","passed","Mon Jul 21 08:53:03 GMT 2025","","test_backup","",""
"","61699","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Mon Jul 21 08:51:13 GMT 2025","passed","Mon Jul 21 08:52:14 GMT 2025","","test_autounseal","",""
"","32628","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Mon Jul 21 08:55:27 GMT 2025","passed","Mon Jul 21 08:56:00 GMT 2025","","test_autounseal","",""
"","38283","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:51:02 GMT 2025","passed","Mon Jul 21 08:51:40 GMT 2025","","test_kv","",""
"","2067","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 08:51:40 GMT 2025","passed","Mon Jul 21 08:51:42 GMT 2025","","test_kv","",""
"","16877","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Mon Jul 21 08:52:32 GMT 2025","passed","Mon Jul 21 08:52:49 GMT 2025","","test_pki","",""
"","51866","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:52:59 GMT 2025","passed","Mon Jul 21 08:53:51 GMT 2025","","test_cos","",""
"","34133","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 08:51:42 GMT 2025","passed","Mon Jul 21 08:52:16 GMT 2025","","test_kv","",""
"","76175","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:52:19 GMT 2025","passed","Mon Jul 21 08:53:35 GMT 2025","","test_core","",""
"","36263","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Mon Jul 21 08:51:53 GMT 2025","passed","Mon Jul 21 08:52:29 GMT 2025","","test_acme","",""
"","2850","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Mon Jul 21 08:52:29 GMT 2025","passed","Mon Jul 21 08:52:32 GMT 2025","","test_pki","",""
"","70008","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Mon Jul 21 08:51:09 GMT 2025","passed","Mon Jul 21 08:52:19 GMT 2025","","test_core","",""
