"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36070","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Tue Jul 22 23:58:23 GMT 2025","passed","Tue Jul 22 23:58:59 GMT 2025","","test_acme","",""
"","30665","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Tue Jul 22 23:58:44 GMT 2025","passed","Tue Jul 22 23:59:14 GMT 2025","","test_core","",""
"","17470","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Tue Jul 22 23:59:27 GMT 2025","passed","Tue Jul 22 23:59:44 GMT 2025","","test_backup","",""
"","25528","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Tue Jul 22 23:59:44 GMT 2025","passed","Wed Jul 23 00:00:10 GMT 2025","","test_backup","",""
"","42788","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Wed Jul 23 00:01:50 GMT 2025","passed","Wed Jul 23 00:02:33 GMT 2025","","test_core","",""
"","54434","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Tue Jul 22 23:58:32 GMT 2025","passed","Tue Jul 22 23:59:27 GMT 2025","","test_backup","",""
"","137425","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Wed Jul 23 00:02:33 GMT 2025","passed","Wed Jul 23 00:04:50 GMT 2025","","test_core","",""
"","93459","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Wed Jul 23 00:04:50 GMT 2025","passed","Wed Jul 23 00:06:24 GMT 2025","","test_core","",""
"","34638","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Tue Jul 22 23:59:00 GMT 2025","passed","Tue Jul 22 23:59:35 GMT 2025","","test_kv","",""
"","37702","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Tue Jul 22 23:58:20 GMT 2025","passed","Tue Jul 22 23:58:57 GMT 2025","","test_kv","",""
"","3071","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Tue Jul 22 23:58:57 GMT 2025","passed","Tue Jul 22 23:59:00 GMT 2025","","test_kv","",""
"","54077","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Wed Jul 23 00:00:05 GMT 2025","passed","Wed Jul 23 00:00:59 GMT 2025","","test_cos","",""
"","108004","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Wed Jul 23 00:00:21 GMT 2025","passed","Wed Jul 23 00:02:09 GMT 2025","","test_autounseal","",""
"","92131","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Tue Jul 22 23:59:35 GMT 2025","passed","Wed Jul 23 00:01:07 GMT 2025","","test_kv","",""
"","32662","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Wed Jul 23 00:03:26 GMT 2025","passed","Wed Jul 23 00:03:58 GMT 2025","","test_autounseal","",""
"","50091","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Tue Jul 22 23:59:15 GMT 2025","passed","Wed Jul 23 00:00:05 GMT 2025","","test_cos","",""
"","61341","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Tue Jul 22 23:59:19 GMT 2025","passed","Wed Jul 23 00:00:21 GMT 2025","","test_autounseal","",""
"","77127","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Wed Jul 23 00:00:33 GMT 2025","passed","Wed Jul 23 00:01:50 GMT 2025","","test_core","",""
"","77198","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Wed Jul 23 00:02:09 GMT 2025","passed","Wed Jul 23 00:03:26 GMT 2025","","test_autounseal","",""
"","78694","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Tue Jul 22 23:59:14 GMT 2025","passed","Wed Jul 23 00:00:33 GMT 2025","","test_core","",""
