"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55218","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Mon Jul 21 04:04:57 GMT 2025","passed","Mon Jul 21 04:05:53 GMT 2025","","test_backup","",""
"","2063","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 04:04:15 GMT 2025","passed","Mon Jul 21 04:04:17 GMT 2025","","test_kv","",""
"","103894","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:04:25 GMT 2025","passed","Mon Jul 21 04:06:09 GMT 2025","","test_autounseal","",""
"","34226","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:03:41 GMT 2025","passed","Mon Jul 21 04:04:15 GMT 2025","","test_kv","",""
"","51827","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:05:06 GMT 2025","passed","Mon Jul 21 04:05:57 GMT 2025","","test_cos","",""
"","93339","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Mon Jul 21 04:11:02 GMT 2025","passed","Mon Jul 21 04:12:36 GMT 2025","","test_core","",""
"","16922","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Mon Jul 21 04:04:05 GMT 2025","passed","Mon Jul 21 04:04:22 GMT 2025","","test_pki","",""
"","35843","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Mon Jul 21 04:04:26 GMT 2025","passed","Mon Jul 21 04:05:02 GMT 2025","","test_acme","",""
"","76075","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:06:42 GMT 2025","passed","Mon Jul 21 04:07:58 GMT 2025","","test_core","",""
"","93613","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Mon Jul 21 04:06:09 GMT 2025","passed","Mon Jul 21 04:07:43 GMT 2025","","test_autounseal","",""
"","25588","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Mon Jul 21 04:06:10 GMT 2025","passed","Mon Jul 21 04:06:36 GMT 2025","","test_backup","",""
"","102447","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Mon Jul 21 04:04:51 GMT 2025","passed","Mon Jul 21 04:06:34 GMT 2025","","test_kv","",""
"","44180","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:07:58 GMT 2025","passed","Mon Jul 21 04:08:42 GMT 2025","","test_core","",""
"","70525","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Mon Jul 21 04:05:31 GMT 2025","passed","Mon Jul 21 04:06:42 GMT 2025","","test_core","",""
"","34118","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 04:04:17 GMT 2025","passed","Mon Jul 21 04:04:51 GMT 2025","","test_kv","",""
"","140064","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Mon Jul 21 04:08:42 GMT 2025","passed","Mon Jul 21 04:11:02 GMT 2025","","test_core","",""
"","17502","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Mon Jul 21 04:05:53 GMT 2025","passed","Mon Jul 21 04:06:10 GMT 2025","","test_backup","",""
"","30676","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:05:01 GMT 2025","passed","Mon Jul 21 04:05:31 GMT 2025","","test_core","",""
"","49783","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:04:16 GMT 2025","passed","Mon Jul 21 04:05:06 GMT 2025","","test_cos","",""
"","51644","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Mon Jul 21 04:03:33 GMT 2025","passed","Mon Jul 21 04:04:25 GMT 2025","","test_autounseal","",""
"","31858","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:03:30 GMT 2025","passed","Mon Jul 21 04:04:02 GMT 2025","","test_pki","",""
"","32611","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Mon Jul 21 04:07:43 GMT 2025","passed","Mon Jul 21 04:08:15 GMT 2025","","test_autounseal","",""
"","2761","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Mon Jul 21 04:04:02 GMT 2025","passed","Mon Jul 21 04:04:05 GMT 2025","","test_pki","",""
