"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50491","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:01:15 GMT 2025","passed","Mon Jul 21 04:02:06 GMT 2025","","test_cos","",""
"","81114","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Mon Jul 21 04:03:25 GMT 2025","passed","Mon Jul 21 04:04:46 GMT 2025","","test_autounseal","",""
"","52445","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:02:06 GMT 2025","passed","Mon Jul 21 04:02:58 GMT 2025","","test_cos","",""
"","108701","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:01:36 GMT 2025","passed","Mon Jul 21 04:03:25 GMT 2025","","test_autounseal","",""
"","37709","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Mon Jul 21 03:58:46 GMT 2025","passed","Mon Jul 21 03:59:23 GMT 2025","","test_kv","",""
"","32753","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Mon Jul 21 04:04:46 GMT 2025","passed","Mon Jul 21 04:05:19 GMT 2025","","test_autounseal","",""
"","74998","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 03:59:55 GMT 2025","passed","Mon Jul 21 04:01:10 GMT 2025","","test_core","",""
"","32653","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:01:34 GMT 2025","passed","Mon Jul 21 04:02:06 GMT 2025","","test_pki","",""
"","17437","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Mon Jul 21 03:59:19 GMT 2025","passed","Mon Jul 21 03:59:36 GMT 2025","","test_backup","",""
"","81800","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Mon Jul 21 04:00:01 GMT 2025","passed","Mon Jul 21 04:01:22 GMT 2025","","test_kv","",""
"","135946","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Mon Jul 21 04:02:10 GMT 2025","passed","Mon Jul 21 04:04:26 GMT 2025","","test_core","",""
"","93458","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Mon Jul 21 04:04:26 GMT 2025","passed","Mon Jul 21 04:05:59 GMT 2025","","test_core","",""
"","30668","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Mon Jul 21 03:58:15 GMT 2025","passed","Mon Jul 21 03:58:45 GMT 2025","","test_core","",""
"","69920","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Mon Jul 21 03:58:45 GMT 2025","passed","Mon Jul 21 03:59:55 GMT 2025","","test_core","",""
"","59409","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Mon Jul 21 04:01:10 GMT 2025","passed","Mon Jul 21 04:02:10 GMT 2025","","test_core","",""
"","54963","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Mon Jul 21 03:58:24 GMT 2025","passed","Mon Jul 21 03:59:19 GMT 2025","","test_backup","",""
"","25514","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Mon Jul 21 03:59:36 GMT 2025","passed","Mon Jul 21 04:00:02 GMT 2025","","test_backup","",""
"","3089","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 03:59:23 GMT 2025","passed","Mon Jul 21 03:59:26 GMT 2025","","test_kv","",""
"","61972","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Mon Jul 21 04:00:34 GMT 2025","passed","Mon Jul 21 04:01:36 GMT 2025","","test_autounseal","",""
"","34189","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 03:59:26 GMT 2025","passed","Mon Jul 21 04:00:01 GMT 2025","","test_kv","",""
"","17177","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Mon Jul 21 04:02:09 GMT 2025","passed","Mon Jul 21 04:02:27 GMT 2025","","test_pki","",""
"","2897","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Mon Jul 21 04:02:06 GMT 2025","passed","Mon Jul 21 04:02:09 GMT 2025","","test_pki","",""
"","34611","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Mon Jul 21 04:01:32 GMT 2025","passed","Mon Jul 21 04:02:07 GMT 2025","","test_acme","",""
