"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51280","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Mon Jul 21 05:42:21 GMT 2025","passed","Mon Jul 21 05:43:12 GMT 2025","","test_autounseal","",""
"","102291","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Mon Jul 21 05:43:47 GMT 2025","passed","Mon Jul 21 05:45:29 GMT 2025","","test_kv","",""
"","69881","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Mon Jul 21 05:42:56 GMT 2025","passed","Mon Jul 21 05:44:06 GMT 2025","","test_core","",""
"","52129","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:45:23 GMT 2025","passed","Mon Jul 21 05:46:15 GMT 2025","","test_core","",""
"","2738","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Mon Jul 21 05:42:48 GMT 2025","passed","Mon Jul 21 05:42:50 GMT 2025","","test_pki","",""
"","137006","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Mon Jul 21 05:46:15 GMT 2025","passed","Mon Jul 21 05:48:32 GMT 2025","","test_core","",""
"","50959","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:43:46 GMT 2025","passed","Mon Jul 21 05:44:37 GMT 2025","","test_cos","",""
"","54985","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Mon Jul 21 05:42:38 GMT 2025","passed","Mon Jul 21 05:43:33 GMT 2025","","test_backup","",""
"","39857","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 05:43:07 GMT 2025","passed","Mon Jul 21 05:43:47 GMT 2025","","test_kv","",""
"","16999","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Mon Jul 21 05:42:50 GMT 2025","passed","Mon Jul 21 05:43:07 GMT 2025","","test_pki","",""
"","77222","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:44:06 GMT 2025","passed","Mon Jul 21 05:45:23 GMT 2025","","test_core","",""
"","32692","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Mon Jul 21 05:46:19 GMT 2025","passed","Mon Jul 21 05:46:51 GMT 2025","","test_autounseal","",""
"","109528","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:43:12 GMT 2025","passed","Mon Jul 21 05:45:02 GMT 2025","","test_autounseal","",""
"","38625","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:42:24 GMT 2025","passed","Mon Jul 21 05:43:03 GMT 2025","","test_kv","",""
"","49550","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:42:56 GMT 2025","passed","Mon Jul 21 05:43:46 GMT 2025","","test_cos","",""
"","77229","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Mon Jul 21 05:45:02 GMT 2025","passed","Mon Jul 21 05:46:19 GMT 2025","","test_autounseal","",""
"","37444","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Mon Jul 21 05:43:10 GMT 2025","passed","Mon Jul 21 05:43:48 GMT 2025","","test_acme","",""
"","17455","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Mon Jul 21 05:43:33 GMT 2025","passed","Mon Jul 21 05:43:51 GMT 2025","","test_backup","",""
"","4078","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 05:43:03 GMT 2025","passed","Mon Jul 21 05:43:07 GMT 2025","","test_kv","",""
"","25539","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Mon Jul 21 05:43:51 GMT 2025","passed","Mon Jul 21 05:44:16 GMT 2025","","test_backup","",""
"","92907","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Mon Jul 21 05:48:32 GMT 2025","passed","Mon Jul 21 05:50:05 GMT 2025","","test_core","",""
"","32498","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:42:15 GMT 2025","passed","Mon Jul 21 05:42:48 GMT 2025","","test_pki","",""
"","30667","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Mon Jul 21 05:42:25 GMT 2025","passed","Mon Jul 21 05:42:56 GMT 2025","","test_core","",""
