"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30676","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:40:42 GMT 2025","passed","Fri Jul 25 02:41:13 GMT 2025","","test_core","",""
"","74007","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:42:31 GMT 2025","passed","Fri Jul 25 02:43:45 GMT 2025","","test_core","",""
"","92797","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Fri Jul 25 02:46:53 GMT 2025","passed","Fri Jul 25 02:48:26 GMT 2025","","test_core","",""
"","37929","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Fri Jul 25 02:41:42 GMT 2025","passed","Fri Jul 25 02:42:20 GMT 2025","","test_acme","",""
"","39916","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Fri Jul 25 02:42:07 GMT 2025","passed","Fri Jul 25 02:42:47 GMT 2025","","test_kv","",""
"","40868","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:41:24 GMT 2025","passed","Fri Jul 25 02:42:05 GMT 2025","","test_kv","",""
"","50897","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:41:59 GMT 2025","passed","Fri Jul 25 02:42:50 GMT 2025","","test_cos","",""
"","52598","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:42:50 GMT 2025","passed","Fri Jul 25 02:43:42 GMT 2025","","test_cos","",""
"","17505","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Fri Jul 25 02:42:05 GMT 2025","passed","Fri Jul 25 02:42:22 GMT 2025","","test_backup","",""
"","101566","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Fri Jul 25 02:42:47 GMT 2025","passed","Fri Jul 25 02:44:29 GMT 2025","","test_kv","",""
"","17137","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Fri Jul 25 02:41:38 GMT 2025","passed","Fri Jul 25 02:41:55 GMT 2025","","test_pki","",""
"","135692","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Fri Jul 25 02:44:37 GMT 2025","passed","Fri Jul 25 02:46:53 GMT 2025","","test_core","",""
"","61052","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Fri Jul 25 02:41:32 GMT 2025","passed","Fri Jul 25 02:42:33 GMT 2025","","test_autounseal","",""
"","2848","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Fri Jul 25 02:41:35 GMT 2025","passed","Fri Jul 25 02:41:38 GMT 2025","","test_pki","",""
"","32724","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Fri Jul 25 02:45:39 GMT 2025","passed","Fri Jul 25 02:46:11 GMT 2025","","test_autounseal","",""
"","108057","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:42:33 GMT 2025","passed","Fri Jul 25 02:44:22 GMT 2025","","test_autounseal","",""
"","31972","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:41:03 GMT 2025","passed","Fri Jul 25 02:41:35 GMT 2025","","test_pki","",""
"","25604","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Fri Jul 25 02:42:22 GMT 2025","passed","Fri Jul 25 02:42:48 GMT 2025","","test_backup","",""
"","78522","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Fri Jul 25 02:41:13 GMT 2025","passed","Fri Jul 25 02:42:31 GMT 2025","","test_core","",""
"","77133","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Fri Jul 25 02:44:22 GMT 2025","passed","Fri Jul 25 02:45:39 GMT 2025","","test_autounseal","",""
"","2061","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Fri Jul 25 02:42:05 GMT 2025","passed","Fri Jul 25 02:42:07 GMT 2025","","test_kv","",""
"","55124","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Fri Jul 25 02:41:10 GMT 2025","passed","Fri Jul 25 02:42:05 GMT 2025","","test_backup","",""
"","51911","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Fri Jul 25 02:43:45 GMT 2025","passed","Fri Jul 25 02:44:37 GMT 2025","","test_core","",""
