"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93380","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Thu Jul 17 02:48:48 GMT 2025","passed","Thu Jul 17 02:50:21 GMT 2025","","test_core","",""
"","31426","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:43:08 GMT 2025","passed","Thu Jul 17 02:43:40 GMT 2025","","test_pki","",""
"","34642","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Thu Jul 17 02:43:06 GMT 2025","passed","Thu Jul 17 02:43:40 GMT 2025","","test_acme","",""
"","38078","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:43:22 GMT 2025","passed","Thu Jul 17 02:44:00 GMT 2025","","test_kv","",""
"","32690","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Thu Jul 17 02:48:47 GMT 2025","passed","Thu Jul 17 02:49:20 GMT 2025","","test_autounseal","",""
"","25564","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Thu Jul 17 02:44:32 GMT 2025","passed","Thu Jul 17 02:44:57 GMT 2025","","test_backup","",""
"","34602","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Thu Jul 17 02:44:02 GMT 2025","passed","Thu Jul 17 02:44:37 GMT 2025","","test_kv","",""
"","17504","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Thu Jul 17 02:44:14 GMT 2025","passed","Thu Jul 17 02:44:32 GMT 2025","","test_backup","",""
"","30675","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:42:40 GMT 2025","passed","Thu Jul 17 02:43:10 GMT 2025","","test_core","",""
"","14742","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Thu Jul 17 02:43:42 GMT 2025","passed","Thu Jul 17 02:43:57 GMT 2025","","test_pki","",""
"","141389","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Thu Jul 17 02:46:27 GMT 2025","passed","Thu Jul 17 02:48:48 GMT 2025","","test_core","",""
"","60315","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:45:26 GMT 2025","passed","Thu Jul 17 02:46:27 GMT 2025","","test_core","",""
"","127620","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:45:22 GMT 2025","passed","Thu Jul 17 02:47:30 GMT 2025","","test_autounseal","",""
"","98582","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Thu Jul 17 02:44:37 GMT 2025","passed","Thu Jul 17 02:46:15 GMT 2025","","test_kv","",""
"","61872","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Thu Jul 17 02:44:20 GMT 2025","passed","Thu Jul 17 02:45:22 GMT 2025","","test_autounseal","",""
"","2054","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Thu Jul 17 02:44:00 GMT 2025","passed","Thu Jul 17 02:44:02 GMT 2025","","test_kv","",""
"","77271","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Thu Jul 17 02:47:30 GMT 2025","passed","Thu Jul 17 02:48:47 GMT 2025","","test_autounseal","",""
"","52367","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:45:06 GMT 2025","passed","Thu Jul 17 02:45:58 GMT 2025","","test_cos","",""
"","69865","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Thu Jul 17 02:43:10 GMT 2025","passed","Thu Jul 17 02:44:20 GMT 2025","","test_core","",""
"","66160","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:44:20 GMT 2025","passed","Thu Jul 17 02:45:26 GMT 2025","","test_core","",""
"","2777","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Thu Jul 17 02:43:40 GMT 2025","passed","Thu Jul 17 02:43:42 GMT 2025","","test_pki","",""
"","55060","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Thu Jul 17 02:43:19 GMT 2025","passed","Thu Jul 17 02:44:14 GMT 2025","","test_backup","",""
"","50908","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Thu Jul 17 02:45:58 GMT 2025","passed","Thu Jul 17 02:46:49 GMT 2025","","test_cos","",""
